date,ticker,spot,m1,m2,m3,regime,contango_m1_pct,contango_m2_pct,contango_m3_pct,roll_yield_annualized_pct,curve_slope
2026-05-18,CL=F,101.699997,106.080002,101.699997,96.849998,CONTANGO,4.3068,0.0,-4.7689,-51.6816,-8.701
2026-05-18,GC=F,4568.799805,4568.799805,4604.399902,4632.799805,FLAT,0.0,0.7792,1.4008,-0.0,1.4008
2026-05-18,NG=F,3.021,3.021,3.184,3.233,FLAT,0.0,5.3956,7.0175,-0.0,7.0175
2026-05-18,SI=F,77.980003,77.705002,77.474998,78.373001,BACKWARDATION,-0.3527,-0.6476,0.504,4.2324,0.8597
2026-05-18,HG=F,6.33,6.302,6.335,6.4035,BACKWARDATION,-0.4423,0.079,1.1611,5.3076,1.6106
2026-05-18,ZW=F,664.75,664.75,678.25,696.25,FLAT,0.0,2.0308,4.7386,-0.0,4.7386
2026-05-18,ZC=F,477.25,477.25,482.5,498.5,FLAT,0.0,1.1001,4.4526,-0.0,4.4526
2026-05-19,CL=F,103.089996,107.5,103.089996,98.110001,CONTANGO,4.2778,0.0,-4.8307,-51.3336,-8.7349
2026-05-19,GC=F,4549.399902,4549.399902,4583.200195,4611.799805,FLAT,0.0,0.743,1.3716,-0.0,1.3716
2026-05-19,NG=F,3.037,3.037,3.2,3.246,FLAT,0.0,5.3671,6.8818,-0.0,6.8818
2026-05-19,SI=F,76.584999,76.050003,77.742996,78.269997,BACKWARDATION,-0.6986,1.512,2.2002,8.3832,2.9191
2026-05-19,HG=F,6.2525,6.2215,6.346,6.381,BACKWARDATION,-0.4958,1.4954,2.0552,5.9496,2.5637
2026-05-19,ZW=F,667.5,667.5,680.5,698.0,FLAT,0.0,1.9476,4.5693,-0.0,4.5693
2026-05-19,ZC=F,477.5,477.5,482.25,497.25,FLAT,0.0,0.9948,4.1361,-0.0,4.1361
2026-05-21,CL=F,100.599998,107.769997,100.599998,96.389999,CONTANGO,7.1272,0.0,-4.1849,-85.5264,-10.5595
2026-05-21,GC=F,4513.799805,4513.799805,4547.0,4569.0,FLAT,0.0,0.7355,1.2229,-0.0,1.2229
2026-05-21,NG=F,3.14,3.013,3.14,3.169,BACKWARDATION,-4.0446,0.0,0.9236,48.5352,5.1776
2026-05-21,SI=F,75.345001,74.93,75.504997,77.007004,BACKWARDATION,-0.5508,0.2124,2.2059,6.6096,2.7719
2026-05-21,HG=F,6.268,6.2345,6.3605,6.421,BACKWARDATION,-0.5345,1.4757,2.441,6.414,2.9914
2026-05-21,ZW=F,657.0,657.0,670.0,688.75,FLAT,0.0,1.9787,4.8326,-0.0,4.8326
2026-05-21,ZC=F,464.5,464.5,471.25,487.75,FLAT,0.0,1.4532,5.0054,-0.0,5.0054
2026-05-22,CL=F,98.510002,107.769997,98.510002,95.150002,CONTANGO,9.4001,0.0,-3.4108,-112.8012,-11.7101
2026-05-22,GC=F,4513.600098,4513.600098,4548.0,4581.0,FLAT,0.0,0.7621,1.4933,-0.0,1.4933
2026-05-22,NG=F,3.137,2.995,3.137,3.172,BACKWARDATION,-4.5266,0.0,1.1157,54.3192,5.9098
2026-05-22,SI=F,76.089996,75.915001,76.449997,77.575996,FLAT,-0.23,0.4731,1.953,2.76,2.188
2026-05-22,HG=F,6.33,6.298,6.4275,6.4155,BACKWARDATION,-0.5055,1.5403,1.3507,6.066,1.8657
2026-05-22,ZW=F,648.0,648.0,661.5,681.25,FLAT,0.0,2.0833,5.1312,-0.0,5.1312
2026-05-22,ZC=F,464.5,464.5,471.0,487.75,FLAT,0.0,1.3994,5.0054,-0.0,5.0054
2026-05-23,CL=F,96.599998,,96.599998,93.089996,UNKNOWN,,0.0,-3.6335,,
2026-05-23,GC=F,4521.0,4523.200195,4556.399902,4588.700195,FLAT,0.0487,0.783,1.4975,-0.5844,1.4481
2026-05-23,NG=F,2.907,2.907,3.021,3.048,FLAT,0.0,3.9216,4.8504,-0.0,4.8504
2026-05-23,SI=F,75.892998,75.931999,76.499001,77.039001,FLAT,0.0514,0.7985,1.51,-0.6168,1.4579
2026-05-23,HG=F,6.342,6.3485,6.4095,6.4695,FLAT,0.1025,1.0643,2.0104,-1.23,1.906
2026-05-23,ZW=F,646.25,646.25,659.25,679.0,FLAT,0.0,2.0116,5.0677,-0.0,5.0677
2026-05-23,ZC=F,463.25,463.25,469.75,486.5,FLAT,0.0,1.4031,5.0189,-0.0,5.0189
2026-05-27,CL=F,90.580002,,90.550003,87.589996,UNKNOWN,,-0.0331,-3.301,,
2026-05-27,GC=F,4474.100098,4441.399902,4474.100098,4496.799805,BACKWARDATION,-0.7309,0.0,0.5074,8.7708,1.2474
2026-05-27,NG=F,3.054,2.92,3.053,3.076,BACKWARDATION,-4.3877,-0.0327,0.7204,52.6524,5.3425
2026-05-27,SI=F,74.489998,74.434998,75.834999,77.456001,FLAT,-0.0738,1.8056,3.9817,0.8856,4.0586
2026-05-27,HG=F,6.351,6.332,6.3785,6.487,FLAT,-0.2992,0.433,2.1414,3.5904,2.4479
2026-05-27,ZW=F,626.75,626.75,640.25,660.5,FLAT,0.0,2.154,5.3849,-0.0,5.3849
2026-05-27,ZC=F,455.5,455.5,462.5,480.5,FLAT,0.0,1.5368,5.4885,-0.0,5.4885
2026-05-28,CL=F,90.68,,90.68,87.989998,UNKNOWN,,0.0,-2.9665,,
2026-05-28,GC=F,4433.100098,4399.799805,4433.100098,4463.399902,BACKWARDATION,-0.7512,0.0,0.6835,9.0144,1.4455
2026-05-28,NG=F,3.068,3.04,3.068,3.096,BACKWARDATION,-0.9126,0.0,0.9126,10.9512,1.8421
2026-05-28,SI=F,73.705002,73.084999,73.995003,74.044998,BACKWARDATION,-0.8412,0.3935,0.4613,10.0944,1.3135
2026-05-28,HG=F,6.356,6.327,6.384,6.428,BACKWARDATION,-0.4563,0.4405,1.1328,5.4756,1.5963
2026-05-28,ZW=F,625.25,625.25,639.0,658.25,FLAT,0.0,2.1991,5.2779,-0.0,5.2779
2026-05-28,ZC=F,455.75,455.75,463.0,480.75,FLAT,0.0,1.5908,5.4855,-0.0,5.4855
